2018/05/22 09:52.35:    1529540555.712909:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:54.54:    1529540694.530065:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:54.55:    1529540695.535081:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:54.56:    1529540696.540705:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:54.57:    1529540697.545795:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:54.58:    1529540698.550906:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:54.59:    1529540699.584030:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/05/22 09:55.00:    1529540700.597135:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:55.01:    1529540701.611788:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:55.02:    1529540702.624764:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:55.03:    1529540703.638650:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:55.04:    1529540704.659789:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 11:53.57:    1529547837.179548:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:53.58:    1529547838.188438:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:53.59:    1529547839.197196:6ABE0326E806*                 :CSMA Data frame: frame len=208, FEC OK
2018/05/22 11:54.00:    1529547840.205392:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:54.01:    1529547841.212944:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:54.02:    1529547842.321433:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:54.03:    1529547843.328807:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:54.08:    1529547848.356432:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 11:54.08:    1529547848.464602:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 11:54.09:    1529547849.579928:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 11:54.10:    1529547850.492801:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 11:54.11:    1529547851.307369:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 11:54.11:    1529547851.819277:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 11:54.12:    1529547852.437189:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 11:54.13:    1529547853.371612:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 11:54.14:    1529547854.461734:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 11:54.14:    1529547854.988934:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
